source,article title,source link
Mongrid et al. (2020),2020 Grid Energy Storage Technology Cost and Performance Assessment,https://www.pnnl.gov/sites/default/files/media/file/Final%20-%20ESGC%20Cost%20Performance%20Report%2012-11-2020.pdf
Augustine & Blair (2020),Storage Technology Modeling Input Data Report,https://www.nrel.gov/docs/fy21osti/78694.pdf
Borri et al. (2021),"A review on liquid air energy storage: History, state of the art and recent developments",https://www.sciencedirect.com/science/article/pii/S1364032120308571?casa_token=G-Bh5wiMPO4AAAAA:4rsIv17ZE3cxtfxddXMgY0qXTeg-66sG4UKwde6ZQ9ODE0xozdr8bJRbyeoRXdVLIvSajqRM
Dumont et al. (2019),Carnot battery technology: A state-of-the-art review,https://www.sciencedirect.com/science/article/pii/S2352152X20315930
Berggreen (2019),Storing Energy By Heating Stones To 600 Degrees — Could Power Denmark For Hours,https://cleantechnica.com/2019/03/19/storing-energy-by-heating-stones-to-600-degrees-could-power-whole-country-for-hours/ 
Enescu et al. (2020),Thermal energy storage for grid applications: Current status and emerging trends,https://www.mdpi.com/1996-1073/13/2/340 
Schneider et al. (2020),Electricity Storage With a Solid Bed High Temperature Thermal Energy Storage System (HTTES)-A Methodical Approach to Improve the Pumped Thermal Grid Storage Concept,https://www.researchgate.net/publication/349780876_Electricity_Storage_With_a_Solid_Bed_High_Temperature_Thermal_Energy_Storage_System_HTTES_-_A_Methodical_Approach_to_Improve_the_Pumped_Thermal_Grid_Storage_Concept
Arpa-e (2010),Energy Storage Systems (ESS),https://arpa-e.energy.gov/technologies/projects/iron-flow-battery
ESS Inc (2021),Energy Center,https://essinc.com/wp-content/uploads/2021/09/ESS_EnergyCenter_Dtatasheet_9-13-21.pdf
Baxter (2018),2018 Energy Storage Pricing Survey,https://www.osti.gov/servlets/purl/1592892
Rathi (2021),Oregon company’s iron battery breakthrough could eat lithium’s lunch,https://www.seattletimes.com/business/technology/oregon-companys-iron-battery-breakthrough-could-eat-lithiums-lunch/
